"Bill_id","History_date","History_description","History_refid"
"HB59","02/16/16","H Left in Health, Welfare and Institutions","H12V0098"
"HB60","12/03/15","H Prefiled and ordered printed; offered 01/13/16 16100312D",""
"HB60","12/03/15","H Referred to Committee on Finance",""
"HB60","01/22/16","H Impact statement from TAX (HB60)",""
"HB60","02/02/16","H Assigned Finance sub: Subcommittee #1",""
"HB60","02/03/16","H Subcommittee recommends continuing to 2017","H1001V0015"
"HB60","02/08/16","H Continued to 2017 in Finance","H10V0062"
"HB61","12/04/15","H Prefiled and ordered printed; offered 01/13/16 16100894D",""
"HB61","12/04/15","H Referred to Committee on General Laws",""
"HB61","01/18/16","H Assigned GL sub: Subcommittee #2",""
"HB61","01/28/16","H Impact statement from DPB (HB61)",""
"HB61","02/11/16","H Subcommittee recommends laying on the table","H1102V0045"
"HB61","02/16/16","H Left in General Laws","H11V0144"
"HB62","12/04/15","H Prefiled and ordered printed; offered 01/13/16 16100893D",""
"HB62","12/04/15","H Referred to Committee on Agriculture, Chesapeake and Natural Resources",""
"HB62","01/13/16","H Assigned ACNR sub:",""
"HB62","01/19/16","H Impact statement from DPB (HB62)",""
"HB62","02/16/16","H Left in Agriculture, Chesapeake and Natural Resources","H01V0058"
"HB63","12/04/15","H Prefiled and ordered printed; offered 01/13/16 16100756D",""
"HB63","12/04/15","H Referred to Committee on Finance",""
"HB63","01/17/16","H Impact statement from TAX (HB63)",""
"HB63","02/02/16","H Assigned Finance sub: Subcommittee #2",""
"HB63","02/03/16","H Subcommittee recommends reporting with amendment(s) (9-Y 0-N)","H1002V0022"
"HB63","02/08/16","H Reported from Finance with amendments (20-Y 2-N)","H10V0079"
"HB63","02/09/16","H Read first time",""
"HB63","02/10/16","H Read second time",""
"HB63","02/10/16","H Committee amendments agreed to",""
"HB63","02/10/16","H Engrossed by House as amended HB63E",""
"HB63","02/10/16","H Printed as engrossed 16100756D-E",""
"HB63","02/11/16","H Read third time and passed House (96-Y 1-N)",""
"HB63","02/11/16","H VOTE: PASSAGE (96-Y 1-N)","HV0430"
"HB63","02/12/16","S Constitutional reading dispensed",""
"HB63","02/12/16","S Referred to Committee on Finance",""
"HB63","02/17/16","H Impact statement from TAX (HB63E)",""
"HB63","02/24/16","S Reported from Finance (14-Y 0-N)","S05V0199"
"HB63","02/25/16","S Constitutional reading dispensed (40-Y 0-N)","SV0636"
"HB63","02/26/16","S Read third time",""
"HB63","02/26/16","S Passed Senate (39-Y 0-N)","SV0660"
"HB63","03/01/16","H Enrolled",""
"HB63","03/01/16","H Bill text as passed House and Senate (HB63ER)",""
"HB63","03/01/16","H Signed by Speaker",""
"HB63","03/02/16","H Impact statement from TAX (HB63ER)",""
"HB63","03/04/16","S Signed by President",""
"HB63","03/07/16","H Enrolled Bill communicated to Governor on 3/7/2016",""
"HB63","03/07/16","G Governor's Action Deadline Midnight, Sunday, April 10, 2016",""
"HB63","03/25/16","G Approved by Governor-Chapter 487 (effective 7/1/16)",""
"HB64","12/04/15","H Prefiled and ordered printed; offered 01/13/16 16101065D",""
"HB64","12/04/15","H Referred to Committee for Courts of Justice",""
"HB64","01/14/16","H Assigned Courts sub:",""
"HB64","01/20/16","H Subcommittee recommends reporting with amendment(s) (10-Y 0-N)","H0802V0015"
"HB64","02/03/16","H Reported from Courts of Justice with substitute (21-Y 0-N)","H08V0050"
"HB64","02/03/16","H Committee substitute printed 16104488D-H1",""
"HB64","02/05/16","H Read first time",""
"HB64","02/08/16","H Read second time",""
"HB64","02/08/16","H Committee substitute agreed to 16104488D-H1",""
"HB64","02/08/16","H Engrossed by House - committee substitute HB64H1",""
"HB64","02/08/16","H Impact statement from DPB (HB64H1)",""
"HB64","02/09/16","H Read third time and passed House BLOCK VOTE (99-Y 0-N)",""
"HB64","02/09/16","H VOTE: BLOCK VOTE PASSAGE (99-Y 0-N)","HV0332"
"HB64","02/10/16","S Constitutional reading dispensed",""
"HB64","02/10/16","S Referred to Committee for Courts of Justice",""
"HB64","02/17/16","S Reported from Courts of Justice with amendment (14-Y 0-N)","S03V0234"
"HB64","02/17/16","S Rereferred to Finance",""
"HB64","03/01/16","S Reported from Finance (15-Y 0-N)","S05V0213"
"HB64","03/02/16","S Constitutional reading dispensed (40-Y 0-N)","SV0784"
"HB64","03/03/16","S Read third time",""
"HB64","03/03/16","S Reading of amendment waived",""
"HB64","03/03/16","S Committee amendment agreed to",""
"HB64","03/03/16","S Engrossed by Senate as amended",""
"HB64","03/03/16","S Passed Senate with amendment (39-Y 0-N)","SV0821"
"HB64","03/03/16","S Reconsideration of Senate passage agreed to by Senate (36-Y 0-N)","SV0822"
"HB64","03/03/16","S Passed Senate with amendment (40-Y 0-N)","SV0823"
"HB64","03/04/16","H Placed on Calendar",""
"HB64","03/07/16","H Senate amendment agreed to by House (95-Y 1-N)",""
"HB64","03/07/16","H VOTE: ADOPTION (95-Y 1-N)","HV1217"
"HB64","03/08/16","H Enrolled",""
"HB64","03/08/16","H Bill text as passed House and Senate (HB64ER)",""
"HB64","03/08/16","H Signed by Speaker",""
"HB64","03/09/16","H Impact statement from DPB (HB64ER)",""
"HB64","03/10/16","S Signed by President",""
"HB64","03/11/16","H Enrolled Bill communicated to Governor on 3/11/16",""
"HB64","03/11/16","G Governor's Action Deadline Midnight, Sunday, April 10, 2016",""
"HB65","12/04/15","H Prefiled and ordered printed; offered 01/13/16 16100724D",""
"HB65","12/04/15","H Referred to Committee on Counties, Cities and Towns",""
"HB65","01/12/16","H Impact statement from DHCD (HB65)",""
"HB65","01/18/16","H Assigned CC & T sub: Subcommittee #1",""
"HB65","01/20/16","H Subcommittee recommends reporting (9-Y 0-N)","H0701V0003"
"HB65","01/29/16","H Reported from Counties, Cities and Towns (21-Y 0-N)","H07V0004"
"HB65","02/01/16","H Read first time",""
"HB65","02/02/16","H Read second time and engrossed",""
"HB65","02/03/16","H Read third time and passed House BLOCK VOTE (97-Y 0-N)",""
"HB65","02/03/16","H VOTE: BLOCK VOTE PASSAGE (97-Y 0-N)","HV0226"
"HB65","02/04/16","S Constitutional reading dispensed",""
"HB65","02/04/16","S Referred to Committee on Local Government",""
"HB65","02/23/16","S Reported from Local Government (13-Y 0-N)","S07V0048"
"HB65","02/25/16","S Constitutional reading dispensed (40-Y 0-N)","SV0636"
"HB65","02/26/16","S Read third time",""
"HB65","02/26/16","S Passed Senate (39-Y 0-N)","SV0660"
"HB65","03/01/16","H Enrolled",""
"HB65","03/01/16","H Bill text as passed House and Senate (HB65ER)",""
"HB65","03/01/16","H Signed by Speaker",""
"HB65","03/04/16","S Signed by President",""
"HB65","03/07/16","H Enrolled Bill communicated to Governor on 3/7/2016",""
"HB65","03/07/16","G Governor's Action Deadline Midnight, Sunday, April 10, 2016",""
"HB65","03/07/16","G Approved by Governor-Chapter 312 (effective 7/1/16)",""
"HB65","03/07/16","G Acts of Assembly Chapter text (CHAP0312)",""
"HB66","12/04/15","H Prefiled and ordered printed; offered 01/13/16 16101082D",""
"HB66","12/04/15","H Referred to Committee on Education",""
"HB66","01/15/16","H Assigned Education sub:",""
"HB66","02/01/16","H Impact statement from DPB (HB66)",""
"HB66","02/09/16","H Subcommittee recommends reporting with amendment(s) (9-Y 0-N)","H0902V0024"
"HB66","02/10/16","H Reported from Education with substitute (21-Y 1-N)","H09V0058"
"HB66","02/10/16","H Committee substitute printed 16104963D-H1",""
"HB66","02/11/16","H Read first time",""
"HB66","02/12/16","H Read second time",""
"HB66","02/12/16","H Committee substitute agreed to 16104963D-H1",""
"HB66","02/12/16","H Amendments by Delegate Byron agreed to",""
"HB66","02/12/16","H Engrossed by House - committee substitute with amendments HB66EH1",""
"HB66","02/12/16","H Printed as engrossed 16104963D-EH1",""
"HB66","02/15/16","H Read third time and passed House (96-Y 3-N)",""
"HB66","02/15/16","H VOTE: PASSAGE (96-Y 3-N)","HV0516"
"HB66","02/16/16","S Constitutional reading dispensed",""
"HB66","02/16/16","S Referred to Committee on Education and Health",""
"HB66","02/25/16","S Reported from Education and Health with amendment (14-Y 0-N)","S04V0177"
"HB66","02/26/16","S Constitutional reading dispensed (39-Y 0-N)","SV0676"
"HB66","02/29/16","S Read third time",""
"HB66","02/29/16","S Passed by for the day",""
"HB66","03/01/16","S Read third time",""
"HB66","03/01/16","S Reading of amendment waived",""
"HB66","03/01/16","S Committee amendment agreed to",""
"HB66","03/01/16","S Reading of amendments waived",""
"HB66","03/01/16","S Amendments by Senator Newman agreed to",""
"HB66","03/01/16","S Passed Senate with amendments (39-Y 0-N)","SV0749"
"HB66","03/02/16","H Placed on Calendar",""
"HB66","03/03/16","H Senate amendments agreed to by House (96-Y 2-N)",""
"HB66","03/03/16","H VOTE: ADOPTION (96-Y 2-N)","HV1150"
"HB66","03/04/16","H Enrolled",""
"HB66","03/04/16","H Bill text as passed House and Senate (HB66ER)",""
"HB66","03/04/16","H Signed by Speaker",""
"HB66","03/07/16","S Signed by President",""
"HB66","03/08/16","H Enrolled Bill communicated to Governor on 3/8/2016",""
"HB66","03/08/16","G Governor's Action Deadline Midnight, Sunday, April 10, 2016",""
"HB66","03/08/16","H Impact statement from DPB (HB66ER)",""
"HB66","03/10/16","G Approved by Governor-Chapter 326 (effective 7/1/16)",""
"HB66","03/10/16","G Acts of Assembly Chapter text (CHAP0326)",""
"HB67","12/06/15","H Prefiled and ordered printed; offered 01/13/16 16100806D",""
"HB67","12/06/15","H Referred to Committee on Privileges and Elections",""
"HB67","01/14/16","H Assigned P & E sub:",""
"HB67","01/17/16","H Impact statement from DPB (HB67)",""
"HB67","01/19/16","H Subcommittee recommends striking from docket","H1804V0002"
"HB67","02/16/16","H Left in Privileges and Elections","H18V0035"
"HB68","12/06/15","H Prefiled and ordered printed; offered 01/13/16 16100856D",""
"HB68","12/06/15","H Referred to Committee on Privileges and Elections",""
"HB68","01/14/16","H Assigned P & E sub:",""
"HB68","01/18/16","H Impact statement from DPB (HB68)",""
"HB68","01/19/16","H Subcommittee recommends passing by indefinitely","H1804V0003"
"HB68","02/16/16","H Left in Privileges and Elections","H18V0036"
"HB69","12/07/15","H Prefiled and ordered printed; offered 01/13/16 16101386D",""
"HB69","12/07/15","H Referred to Committee on Appropriations",""
"HB69","01/14/16","H Assigned App. sub:",""
"HB69","01/14/16","H Impact statement from VRS (HB69)",""
"HB69","02/18/16","H Left in Appropriations","H02V0058"
"HB70","12/07/15","H Prefiled and ordered printed; offered 01/13/16 16100927D",""
"HB70","12/07/15","H Referred to Committee for Courts of Justice",""
"HB70","01/14/16","H Assigned Courts sub:",""
"HB70","01/21/16","H Impact statement from DPB (HB70)",""
"HB70","01/27/16","H Subcommittee recommends reporting with amendment(s) (11-Y 0-N)","H0801V0044"
"HB70","02/03/16","H Reported from Courts of Justice with amendments (21-Y 0-N)","H08V0085"
"HB70","02/05/16","H Read first time",""
"HB70","02/08/16","H Read second time",""
"HB70","02/08/16","H Committee amendments agreed to",""
"HB70","02/08/16","H Engrossed by House as amended HB70E",""
"HB70","02/08/16","H Printed as engrossed 16100927D-E",""
"HB70","02/09/16","H Read third time and passed House BLOCK VOTE (99-Y 0-N)",""
"HB70","02/09/16","H VOTE: BLOCK VOTE PASSAGE (99-Y 0-N)","HV0333"
"HB70","02/10/16","H Impact statement from DPB (HB70E)",""
"HB70","02/10/16","S Constitutional reading dispensed",""
"HB70","02/10/16","S Referred to Committee for Courts of Justice",""
"HB70","02/22/16","S Reported from Courts of Justice with substitute (8-Y 6-N)","S03V0265"
"HB70","02/22/16","S Committee substitute printed 16105663D-S1",""
"HB70","02/23/16","S Constitutional reading dispensed (39-Y 0-N)","SV0564"
"HB70","02/24/16","S Read third time",""
"HB70","02/24/16","S Reading of substitute waived",""
"HB70","02/24/16","S Committee substitute agreed to 16105663D-S1",""
"HB70","02/24/16","S Engrossed by Senate - committee substitute HB70S1",""
"HB70","02/24/16","S Passed Senate with substitute (24-Y 16-N)","SV0588"
"HB70","02/25/16","H Placed on Calendar",""
"HB70","02/26/16","H Senate substitute agreed to by House 16105663D-S1 (70-Y 27-N)",""
"HB70","02/26/16","H VOTE: ADOPTION (70-Y 27-N)","HV1005"
"HB70","02/29/16","H Enrolled",""
"HB70","02/29/16","H Bill text as passed House and Senate (HB70ER)",""
"HB70","02/29/16","H Impact statement from DPB (HB70ER)",""
"HB70","02/29/16","H Signed by Speaker",""
"HB70","03/03/16","S Signed by President",""
"HB70","03/04/16","H Enrolled Bill communicated to Governor on 3/4/16",""
"HB70","03/04/16","G Governor's Action Deadline Midnight, March 11, 2016",""
"HB70","03/11/16","G Vetoed by Governor",""
"HB71","12/07/15","H Prefiled and ordered printed; offered 01/13/16 16100820D",""
"HB71","12/07/15","H Referred to Committee on Education",""
"HB71","01/15/16","H Assigned Education sub:",""
"HB71","01/26/16","H Subcommittee recommends striking from docket","H0903V0004"
"HB71","01/27/16","H Stricken from docket by Education","H09V0026"
"HB72","12/07/15","H Prefiled and ordered printed with emergency clause; offered 01/13/16 16101276D",""
"HB72","12/07/15","H Referred to Committee on Commerce and Labor",""
"HB72","01/07/16","H Impact statement from SCC (HB72)",""
"HB72","01/14/16","H Tabled in Commerce and Labor","H14V0005"
"HB73","12/07/15","H Prefiled and ordered printed; offered 01/13/16 16100461D",""
"HB73","12/07/15","H Referred to Committee on Militia, Police and Public Safety",""
"HB73","01/15/16","H Referred from Militia, Police and Public Safety","H15V0001"
"HB73","01/15/16","H Referred to Committee on Transportation",""
"HB73","01/28/16","H Impact statement from DPB (HB73)",""
"HB73","01/29/16","H Assigned Transportation sub: Subcommittee #1",""
"HB73","02/08/16","H Subcommittee recommends laying on the table","H1901V0029"
"HB73","02/16/16","H Left in Transportation","H19V0132"
"HB74","12/07/15","H Prefiled and ordered printed; offered 01/13/16 16100506D",""
"HB74","12/07/15","H Referred to Committee for Courts of Justice",""
"HB74","01/14/16","H Assigned Courts sub:",""
"HB74","02/02/16","H Impact statement from DPB (HB74)",""
"HB74","02/03/16","H Subcommittee recommends laying on the table","H0801V0103"
"HB74","02/16/16","H Left in Courts of Justice","H08V0242"
"HB75","12/07/15","H Prefiled and ordered printed; offered 01/13/16 16100507D",""
"HB75","12/07/15","H Referred to Committee for Courts of Justice",""
"HB75","01/14/16","H Assigned Courts sub:",""
"HB75","01/25/16","H Subcommittee recommends continuing to 2017","H0801V0041"
"HB75","01/27/16","H Continued to 2017 in Courts of Justice","H08V0034"
"HB76","12/07/15","H Prefiled and ordered printed; offered 01/13/16 16100734D",""
"HB76","12/07/15","H Referred to Committee on Education",""
"HB76","12/07/15","H Introduced bill reprinted 16100734D",""
"HB76","01/19/16","H Impact statement from DPB (HB76)",""
"HB76","02/16/16","H Left in Education","H09V0100"
"HB77","12/07/15","H Prefiled and ordered printed; offered 01/13/16 16101006D",""
"HB77","12/07/15","H Referred to Committee on General Laws",""
"HB77","01/29/16","H Impact statement from DPB (HB77)",""
"HB77","02/03/16","H Assigned GL sub: Subcommittee #4",""
"HB77","02/04/16","H Subcommittee recommends laying on the table","H1104V0017"
"HB77","02/16/16","H Left in General Laws","H11V0145"
"HB78","12/07/15","H Prefiled and ordered printed; offered 01/13/16 16100593D",""
"HB78","12/07/15","H Referred to Committee on Transportation",""
"HB78","01/15/16","H Assigned Transportation sub: Subcommittee #1",""
"HB78","01/29/16","H Impact statement from DPB (HB78)",""
"HB78","01/29/16","H Subcommittee recommends laying on the table","H1901V0010"
"HB78","02/16/16","H Left in Transportation","H19V0133"
"HB79","12/07/15","H Prefiled and ordered printed; offered 01/13/16 16100775D",""
"HB79","12/07/15","H Referred to Committee on Education",""
"HB79","01/18/16","H Impact statement from DPB (HB79)",""
"HB79","02/16/16","H Left in Education","H09V0101"
"HB80","12/08/15","H Prefiled and ordered printed; offered 01/13/16 16101829D",""
"HB80","12/08/15","H Referred to Committee on Finance",""
"HB80","01/19/16","H Assigned Finance sub: Subcommittee #2",""
"HB80","01/20/16","H Subcommittee recommends reporting (11-Y 0-N)","H1002V0001"
"HB80","02/01/16","H Reported from Finance (22-Y 0-N)","H10V0045"
"HB80","02/02/16","H Read first time",""
"HB80","02/03/16","H Read second time and engrossed",""
"HB80","02/04/16","H Read third time and passed House BLOCK VOTE (98-Y 0-N)",""
"HB80","02/04/16","H VOTE: BLOCK VOTE PASSAGE (98-Y 0-N)","HV0261"
"HB80","02/05/16","S Constitutional reading dispensed",""
"HB80","02/05/16","S Referred to Committee on Finance",""
"HB80","02/09/16","H Impact statement from TAX (HB80)",""
"HB80","02/16/16","S Reported from Finance (14-Y 0-N)","S05V0152"
"HB80","02/17/16","S Constitutional reading dispensed (40-Y 0-N)","SV0496"
"HB80","02/18/16","S Read third time",""
"HB80","02/18/16","S Passed Senate (40-Y 0-N)","SV0502"
"HB80","02/19/16","H Enrolled",""
"HB80","02/19/16","H Bill text as passed House and Senate (HB80ER)",""
"HB80","02/19/16","H Signed by Speaker",""
"HB80","02/19/16","S Signed by President",""
"HB80","02/19/16","H Enrolled Bill communicated to Governor on 2/19/16",""
"HB80","02/19/16","G Governor's Action Deadline Midnight, February 26, 2016",""
"HB80","02/24/16","H Impact statement from TAX (HB80ER)",""
"HB80","02/26/16","G Approved by Governor-Chapter 35 (effective 7/1/16)",""
"HB80","02/26/16","G Acts of Assembly Chapter text (CHAP0035)",""
"HB81","12/08/15","H Prefiled and ordered printed; offered 01/13/16 16100565D",""
"HB81","12/08/15","H Referred to Committee on Health, Welfare and Institutions",""
"HB81","01/12/16","H Impact statement from DPB (HB81)",""
"HB81","01/21/16","H Tabled in Health, Welfare and Institutions","H12V0010"
"HB82","12/09/15","H Prefiled and ordered printed; offered 01/13/16 16100672D",""
"HB82","12/09/15","H Referred to Committee on Privileges and Elections",""
"HB82","01/14/16","H Assigned P & E sub:",""
"HB82","01/14/16","H Impact statement from DPB (HB82)",""
"HB82","02/09/16","H Subcommittee recommends laying on the table","H1804V0033"
"HB82","02/16/16","H Left in Privileges and Elections","H18V0037"
"HB83","12/10/15","H Prefiled and ordered printed; offered 01/13/16 16101799D",""
"HB83","12/10/15","H Referred to Committee on Militia, Police and Public Safety",""
"HB83","01/15/16","H Referred from Militia, Police and Public Safety","H15V0002"
"HB83","01/15/16","H Referred to Committee on Appropriations",""
"HB83","01/18/16","H Impact statement from DPB (HB83)",""
"HB83","02/18/16","H Left in Appropriations","H02V0059"
"HB84","12/10/15","H Prefiled and ordered printed; offered 01/13/16 16101748D",""
"HB84","12/10/15","H Referred to Committee for Courts of Justice",""
"HB84","01/14/16","H Assigned Courts sub:",""
"HB84","01/18/16","H Impact statement from DPB (HB84)",""
"HB84","02/01/16","H Subcommittee recommends laying on the table","H0801V0096"
"HB84","02/16/16","H Left in Courts of Justice","H08V0243"
"HB85","12/10/15","H Prefiled and ordered printed; offered 01/13/16 16103261D",""
"HB85","12/10/15","H Referred to Committee on Finance",""
"HB85","01/19/16","H Assigned Finance sub: Subcommittee #2",""
"HB85","01/19/16","H Impact statement from TAX (HB85)",""
"HB85","01/27/16","H Subcommittee recommends laying on the table","H1002V0008"
"HB85","02/17/16","H Left in Finance","H10V0105"
"HB86","12/10/15","H Prefiled and ordered printed; offered 01/13/16 16100987D",""
"HB86","12/10/15","H Referred to Committee on Health, Welfare and Institutions",""
"HB86","01/14/16","H Assigned HWI sub: Subcommittee #1",""
"HB86","01/26/16","H Impact statement from DPB (HB86)",""
"HB86","02/16/16","H Left in Health, Welfare and Institutions","H12V0099"
"HB87","12/10/15","H Prefiled and ordered printed; offered 01/13/16 16101667D",""
"HB87","12/10/15","H Referred to Committee on Commerce and Labor",""
"HB87","01/14/16","H Impact statement from SCC (HB87)",""
"HB87","01/26/16","H Reported from Commerce and Labor with substitute (22-Y 0-N)","H14V0022"
"HB87","01/26/16","H Committee substitute printed 16104430D-H1",""
"HB87","01/28/16","H Read first time",""
"HB87","01/29/16","H Read second time",""
"HB87","01/29/16","H Committee substitute agreed to 16104430D-H1",""
"HB87","01/29/16","H Engrossed by House - committee substitute HB87H1",""
"HB87","02/01/16","H Read third time and passed House BLOCK VOTE (98-Y 0-N)",""
"HB87","02/01/16","H VOTE: BLOCK VOTE PASSAGE (98-Y 0-N)","HV0130"
"HB87","02/02/16","S Constitutional reading dispensed",""
"HB87","02/02/16","S Referred to Committee on Commerce and Labor",""
"HB87","02/05/16","H Impact statement from SCC (HB87H1)",""
"HB87","02/29/16","S Reported from Commerce and Labor (14-Y 0-N)","S02V0100"
"HB87","03/02/16","S Constitutional reading dispensed (40-Y 0-N)","SV0784"
"HB87","03/03/16","S Read third time",""
"HB87","03/03/16","S Passed Senate (39-Y 0-N)","SV0821"
"HB87","03/03/16","S Reconsideration of Senate passage agreed to by Senate (36-Y 0-N)","SV0822"
"HB87","03/03/16","S Passed Senate (40-Y 0-N)","SV0823"
"HB87","03/07/16","H Enrolled",""
"HB87","03/07/16","H Bill text as passed House and Senate (HB87ER)",""
"HB87","03/07/16","H Signed by Speaker",""
"HB87","03/08/16","H Impact statement from SCC (HB87ER)",""
"HB87","03/09/16","S Signed by President",""
"HB87","03/09/16","H Enrolled Bill communicated to Governor on 3/9/2016",""
"HB87","03/09/16","G Governor's Action Deadline Midnight, Sunday, April 10, 2016",""
"HB87","03/29/16","G Approved by Governor-Chapter 570 (effective 7/1/16)",""
"HB88","12/10/15","H Prefiled and ordered printed; offered 01/13/16 16101785D",""
"HB88","12/10/15","H Referred to Committee on Privileges and Elections",""
"HB88","01/14/16","H Assigned P & E sub:",""
"HB88","01/19/16","H Impact statement from DPB (HB88)",""
"HB88","01/21/16","H Subcommittee recommends reporting (6-Y 0-N)","H1802V0001"
"HB88","01/29/16","H Reported from Privileges and Elections (21-Y 0-N)","H18V0006"
"HB88","02/01/16","H Read first time",""
"HB88","02/02/16","H Read second time and engrossed",""
"HB88","02/03/16","H Read third time and passed House BLOCK VOTE (97-Y 0-N)",""
"HB88","02/03/16","H VOTE: BLOCK VOTE PASSAGE (97-Y 0-N)","HV0227"
"HB88","02/04/16","S Constitutional reading dispensed",""
"HB88","02/04/16","S Referred to Committee on Privileges and Elections",""
"HB88","02/09/16","S Reported from Privileges and Elections with amendment (13-Y 0-N)","S08V0080"
"HB88","02/11/16","S Constitutional reading dispensed (39-Y 0-N)","SV0330"
"HB88","02/12/16","S Read third time",""
"HB88","02/12/16","S Reading of amendment waived",""
"HB88","02/12/16","S Committee amendment agreed to",""
"HB88","02/12/16","S Engrossed by Senate as amended",""
"HB88","02/12/16","S Passed Senate with amendment (38-Y 0-N)","SV0345"
"HB88","02/15/16","H Placed on Calendar",""
"HB88","02/16/16","H Senate amendment agreed to by House (97-Y 2-N)",""
"HB88","02/16/16","H VOTE: ADOPTION (97-Y 2-N)","HV0693"
"HB88","02/16/16","H Enrolled",""
"HB88","02/16/16","H Bill text as passed House and Senate (HB88ER)",""
"HB88","02/16/16","H Impact statement from DPB (HB88ER)",""
"HB88","02/16/16","H Signed by Speaker",""
"HB88","02/16/16","S Signed by President",""
"HB88","02/17/16","H Enrolled Bill communicated to Governor on 2/17/16",""
"HB88","02/17/16","G Governor's Action Deadline Midnight, Wednesday, February 24, 2016",""
"HB88","02/24/16","G Approved by Governor-Chapter 13 (effective 7/1/16)",""
"HB88","02/24/16","G Acts of Assembly Chapter text (CHAP0013)",""
"HB89","12/10/15","H Prefiled and ordered printed; offered 01/13/16 16101781D",""
"HB89","12/10/15","H Referred to Committee for Courts of Justice",""
"HB89","01/14/16","H Assigned Courts sub:",""
"HB89","01/18/16","H Impact statement from DPB (HB89)",""
"HB89","01/27/16","H Subcommittee recommends laying on the table","H0801V0049"
"HB89","02/16/16","H Left in Courts of Justice","H08V0244"
"HB90","12/11/15","H Prefiled and ordered printed; offered 01/13/16 16100115D",""
"HB90","12/11/15","H Referred to Committee on Militia, Police and Public Safety",""
"HB90","01/13/16","H Impact statement from DPB (HB90)",""
"HB90","01/19/16","H Assigned MPPS sub: #1",""
"HB90","01/21/16","H Subcommittee recommends reporting (4-Y 1-N)","H1501V0009"
"HB90","01/29/16","H Reported from Militia, Police and Public Safety with substitute (16-Y 6-N)","H15V0015"
"HB90","01/29/16","H Committee substitute printed 16104825D-H1",""
"HB90","01/29/16","H Incorporates HB119",""
"HB90","02/01/16","H Read first time",""
"HB90","02/02/16","H Read second time",""
"HB90","02/02/16","H Committee substitute agreed to 16104825D-H1",""
"HB90","02/02/16","H Engrossed by House - committee substitute HB90H1",""
"HB90","02/03/16","H Engrossment reconsidered by House",""
"HB90","02/03/16","H Amendment by Delegate Taylor agreed to",""
"HB90","02/03/16","H Engrossed by House - committee substitute HB90EH1",""
"HB90","02/03/16","H Printed as engrossed 16104825D-EH1",""
"HB90","02/04/16","H Read third time and passed House (98-Y 0-N)",""
"HB90","02/04/16","H VOTE: PASSAGE (98-Y 0-N)","HV0271"
"HB90","02/05/16","S Constitutional reading dispensed",""
"HB90","02/05/16","S Referred to Committee for Courts of Justice",""
"HB90","02/08/16","H Impact statement from DPB (HB90EH1)",""
"HB90","02/24/16","S Reported from Courts of Justice with amendment (8-Y 0-N)","S03V0306"
"HB90","02/26/16","S Constitutional reading dispensed (39-Y 0-N)","SV0676"
"HB90","02/29/16","S Read third time",""
"HB90","02/29/16","S Reading of amendment waived",""
"HB90","02/29/16","S Committee amendment agreed to",""
"HB90","02/29/16","S Engrossed by Senate as amended",""
"HB90","02/29/16","S Passed Senate with amendment (38-Y 0-N)","SV0693"
"HB90","02/29/16","S Reconsideration of Senate passage agreed to by Senate (38-Y 0-N)","SV0716"
"HB90","02/29/16","S Passed Senate with amendment (38-Y 0-N)","SV0717"
"HB90","03/01/16","H Placed on Calendar",""
"HB90","03/02/16","H Senate amendment agreed to by House (99-Y 0-N)",""
"HB90","03/02/16","H VOTE: ADOPTION (99-Y 0-N)","HV1100"
"HB90","03/03/16","H Enrolled",""
"HB90","03/03/16","H Bill text as passed House and Senate (HB90ER)",""
"HB90","03/03/16","H Signed by Speaker",""
"HB90","03/04/16","H Impact statement from DPB (HB90ER)",""
"HB90","03/06/16","S Signed by President",""
"HB90","03/07/16","H Enrolled Bill communicated to Governor on 3/7/2016",""
"HB90","03/07/16","G Governor's Action Deadline Midnight, Sunday, April 10, 2016",""
"HB91","12/11/15","H Prefiled and ordered printed; offered 01/13/16 16101247D",""
"HB91","12/11/15","H Referred to Committee on Militia, Police and Public Safety",""
"HB91","01/13/16","H Impact statement from DPB (HB91)",""
"HB91","01/15/16","H Referred from Militia, Police and Public Safety","H15V0003"
"HB91","01/15/16","H Referred to Committee on Appropriations",""
"HB91","01/15/16","H Assigned App. sub:",""
"HB91","02/04/16","H Subcommittee recommends laying on the table","H0208V0001"
"HB91","02/18/16","H Left in Appropriations","H02V0060"
"HB92","12/11/15","H Prefiled and ordered printed; offered 01/13/16 16100735D",""
"HB92","12/11/15","H Referred to Committee on Finance",""
"HB92","01/16/16","H Impact statement from TAX (HB92)",""
"HB92","01/19/16","H Assigned Finance sub: Subcommittee #2",""
"HB92","01/27/16","H Subcommittee failed to recommend reporting (3-Y 7-N)","H1002V0009"
"HB92","02/17/16","H Left in Finance","H10V0106"
"HB93","12/12/15","H Prefiled and ordered printed; offered 01/13/16 16101710D",""
"HB93","12/12/15","H Referred to Committee on Education",""
"HB93","01/15/16","H Assigned Education sub:",""
"HB93","01/21/16","H Impact statement from DOE/COO (HB93)",""
"HB93","01/26/16","H Subcommittee recommends laying on the table","H0903V0008"
"HB93","02/16/16","H Left in Education","H09V0102"
"HB94","12/12/15","H Prefiled and ordered printed; offered 01/13/16 16103229D",""
"HB94","12/12/15","H Referred to Committee for Courts of Justice",""
"HB94","01/15/16","H Impact statement from VDH (HB94)",""
"HB94","02/04/16","H Assigned Courts sub: Constitutional Law",""
"HB94","02/08/16","H Subcommittee recommends striking from docket","H0807V0006"
